sample_id,reference,bam_s3_path,bai_s3_path,md5_s3_path
HG00140,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00140/alignments/CHM13v2/hifi_reads/HG00140.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00140/alignments/CHM13v2/hifi_reads/HG00140.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00140/alignments/CHM13v2/hifi_reads/HG00140.CHM13v2.sorted.bam.md5
HG00140,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00140/alignments/GRCh38_no_alt/hifi_reads/HG00140.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00140/alignments/GRCh38_no_alt/hifi_reads/HG00140.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00140/alignments/GRCh38_no_alt/hifi_reads/HG00140.GRCh38_no_alt.sorted.bam.md5
HG00146,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00146/alignments/CHM13v2/hifi_reads/HG00146.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00146/alignments/CHM13v2/hifi_reads/HG00146.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00146/alignments/CHM13v2/hifi_reads/HG00146.CHM13v2.sorted.bam.md5
HG00146,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00146/alignments/GRCh38_no_alt/hifi_reads/HG00146.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00146/alignments/GRCh38_no_alt/hifi_reads/HG00146.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00146/alignments/GRCh38_no_alt/hifi_reads/HG00146.GRCh38_no_alt.sorted.bam.md5
HG00232,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00232/alignments/CHM13v2/hifi_reads/HG00232.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00232/alignments/CHM13v2/hifi_reads/HG00232.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00232/alignments/CHM13v2/hifi_reads/HG00232.CHM13v2.sorted.bam.md5
HG00232,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00232/alignments/GRCh38_no_alt/hifi_reads/HG00232.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00232/alignments/GRCh38_no_alt/hifi_reads/HG00232.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00232/alignments/GRCh38_no_alt/hifi_reads/HG00232.GRCh38_no_alt.sorted.bam.md5
HG00235,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00235/alignments/CHM13v2/hifi_reads/HG00235.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00235/alignments/CHM13v2/hifi_reads/HG00235.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00235/alignments/CHM13v2/hifi_reads/HG00235.CHM13v2.sorted.bam.md5
HG00235,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00235/alignments/GRCh38_no_alt/hifi_reads/HG00235.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00235/alignments/GRCh38_no_alt/hifi_reads/HG00235.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00235/alignments/GRCh38_no_alt/hifi_reads/HG00235.GRCh38_no_alt.sorted.bam.md5
HG00253,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00253/alignments/CHM13v2/hifi_reads/HG00253.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00253/alignments/CHM13v2/hifi_reads/HG00253.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00253/alignments/CHM13v2/hifi_reads/HG00253.CHM13v2.sorted.bam.md5
HG00253,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00253/alignments/GRCh38_no_alt/hifi_reads/HG00253.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00253/alignments/GRCh38_no_alt/hifi_reads/HG00253.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00253/alignments/GRCh38_no_alt/hifi_reads/HG00253.GRCh38_no_alt.sorted.bam.md5
HG00272,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00272/alignments/CHM13v2/hifi_reads/HG00272.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00272/alignments/CHM13v2/hifi_reads/HG00272.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00272/alignments/CHM13v2/hifi_reads/HG00272.CHM13v2.sorted.bam.md5
HG00272,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00272/alignments/GRCh38_no_alt/hifi_reads/HG00272.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00272/alignments/GRCh38_no_alt/hifi_reads/HG00272.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00272/alignments/GRCh38_no_alt/hifi_reads/HG00272.GRCh38_no_alt.sorted.bam.md5
HG00280,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00280/alignments/CHM13v2/hifi_reads/HG00280.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00280/alignments/CHM13v2/hifi_reads/HG00280.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00280/alignments/CHM13v2/hifi_reads/HG00280.CHM13v2.sorted.bam.md5
HG00280,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00280/alignments/GRCh38_no_alt/hifi_reads/HG00280.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00280/alignments/GRCh38_no_alt/hifi_reads/HG00280.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00280/alignments/GRCh38_no_alt/hifi_reads/HG00280.GRCh38_no_alt.sorted.bam.md5
HG00290,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00290/alignments/CHM13v2/hifi_reads/HG00290.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00290/alignments/CHM13v2/hifi_reads/HG00290.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00290/alignments/CHM13v2/hifi_reads/HG00290.CHM13v2.sorted.bam.md5
HG00290,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00290/alignments/GRCh38_no_alt/hifi_reads/HG00290.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00290/alignments/GRCh38_no_alt/hifi_reads/HG00290.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00290/alignments/GRCh38_no_alt/hifi_reads/HG00290.GRCh38_no_alt.sorted.bam.md5
HG00320,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00320/alignments/CHM13v2/hifi_reads/HG00320.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00320/alignments/CHM13v2/hifi_reads/HG00320.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00320/alignments/CHM13v2/hifi_reads/HG00320.CHM13v2.sorted.bam.md5
HG00320,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00320/alignments/GRCh38_no_alt/hifi_reads/HG00320.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00320/alignments/GRCh38_no_alt/hifi_reads/HG00320.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00320/alignments/GRCh38_no_alt/hifi_reads/HG00320.GRCh38_no_alt.sorted.bam.md5
HG00321,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00321/alignments/CHM13v2/hifi_reads/HG00321.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00321/alignments/CHM13v2/hifi_reads/HG00321.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00321/alignments/CHM13v2/hifi_reads/HG00321.CHM13v2.sorted.bam.md5
HG00321,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00321/alignments/GRCh38_no_alt/hifi_reads/HG00321.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00321/alignments/GRCh38_no_alt/hifi_reads/HG00321.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00321/alignments/GRCh38_no_alt/hifi_reads/HG00321.GRCh38_no_alt.sorted.bam.md5
HG00323,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00323/alignments/CHM13v2/hifi_reads/HG00323.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00323/alignments/CHM13v2/hifi_reads/HG00323.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00323/alignments/CHM13v2/hifi_reads/HG00323.CHM13v2.sorted.bam.md5
HG00323,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00323/alignments/GRCh38_no_alt/hifi_reads/HG00323.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00323/alignments/GRCh38_no_alt/hifi_reads/HG00323.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00323/alignments/GRCh38_no_alt/hifi_reads/HG00323.GRCh38_no_alt.sorted.bam.md5
HG00329,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00329/alignments/CHM13v2/hifi_reads/HG00329.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00329/alignments/CHM13v2/hifi_reads/HG00329.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00329/alignments/CHM13v2/hifi_reads/HG00329.CHM13v2.sorted.bam.md5
HG00329,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00329/alignments/GRCh38_no_alt/hifi_reads/HG00329.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00329/alignments/GRCh38_no_alt/hifi_reads/HG00329.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00329/alignments/GRCh38_no_alt/hifi_reads/HG00329.GRCh38_no_alt.sorted.bam.md5
HG00344,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00344/alignments/CHM13v2/hifi_reads/HG00344.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00344/alignments/CHM13v2/hifi_reads/HG00344.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00344/alignments/CHM13v2/hifi_reads/HG00344.CHM13v2.sorted.bam.md5
HG00344,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00344/alignments/GRCh38_no_alt/hifi_reads/HG00344.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00344/alignments/GRCh38_no_alt/hifi_reads/HG00344.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00344/alignments/GRCh38_no_alt/hifi_reads/HG00344.GRCh38_no_alt.sorted.bam.md5
HG00350,CHM13v2,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00350/alignments/CHM13v2/hifi_reads/HG00350.CHM13v2.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00350/alignments/CHM13v2/hifi_reads/HG00350.CHM13v2.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00350/alignments/CHM13v2/hifi_reads/HG00350.CHM13v2.sorted.bam.md5
HG00350,GRCh38_no_alt,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00350/alignments/GRCh38_no_alt/hifi_reads/HG00350.GRCh38_no_alt.sorted.bam,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00350/alignments/GRCh38_no_alt/hifi_reads/HG00350.GRCh38_no_alt.sorted.bam.bai,s3://human-pangenomics/submissions/40399FDD-59DE-43D1-B3A3-DFF0C6E64FAC--YALE_VARIANT_CALLS_R2/samples/HG00350/alignments/GRCh38_no_alt/hifi_reads/HG00350.GRCh38_no_alt.sorted.bam.md5
